Hora,Usuarios,Usuarios nuevos,Sesiones,Porcentaje de rebote,Paginasxsesion,Duracionmediasesion,Tasa de conversion del objetivo,Objetivos cumplidos,Valor del objetivo
11:00:00,2,0,3,"0,00 %",7.67,00:24:50,"0,00 %",0,"0,00 US$"
21:00:00,3,1,3,"0,00 %",20.0,00:20:44,"0,00 %",0,"0,00 US$"
13:00:00,4,1,5,"20,00 %",10.6,00:18:37,"0,00 %",0,"0,00 US$"
10:00:00,3,2,3,"33,33 %",17.67,00:16:32,"0,00 %",0,"0,00 US$"
06:00:00,2,0,2,"0,00 %",7.0,00:12:44,"0,00 %",0,"0,00 US$"
09:00:00,3,0,5,"20,00 %",6.4,00:09:53,"0,00 %",0,"0,00 US$"
12:00:00,2,1,2,"0,00 %",15.0,00:09:00,"0,00 %",0,"0,00 US$"
18:00:00,2,1,2,"0,00 %",22.5,00:07:54,"0,00 %",0,"0,00 US$"
16:00:00,3,1,3,"33,33 %",8.0,00:07:26,"0,00 %",0,"0,00 US$"
14:00:00,1,0,1,"0,00 %",3.0,00:07:23,"0,00 %",0,"0,00 US$"
15:00:00,3,1,5,"0,00 %",14.2,00:06:31,"0,00 %",0,"0,00 US$"
19:00:00,4,1,4,"0,00 %",13.5,00:05:32,"0,00 %",0,"0,00 US$"
20:00:00,5,1,5,"20,00 %",13.4,00:04:45,"0,00 %",0,"0,00 US$"
07:00:00,2,1,2,"0,00 %",13.0,00:03:47,"0,00 %",0,"0,00 US$"
22:00:00,2,1,2,"50,00 %",7.5,00:03:24,"0,00 %",0,"0,00 US$"
17:00:00,1,0,1,"0,00 %",5.0,00:01:08,"0,00 %",0,"0,00 US$"
08:00:00,1,0,2,"0,00 %",3.5,00:00:30,"0,00 %",0,"0,00 US$"
